phone_ownership,phone_ownership_response,phone_cost,state_phone,state_phone_response,brand_phone,brand_phone_response,gender,gender_response,age,ethnicity,education,education_response,employment_status,income,family_size,treatment,WTP,WTP_response,WTP_per,protest_flag,emotional_attachment
Bought on contract - fully paid,,903,Secondhand - Manufacturer Refurbished (eg. Apple),,Apple (iPhone),,Female,,18 - 24,BAME,Master's degree,,In full-time education,"Less than £10,000",None,env,142.0,,0.157,False,12
Bought outright,,777,Brand New,,Apple (iPhone),,Female,,25 - 34,BAME,Undergraduate degree,,In full-time education,"Less than £10,000",2,env,201.0,,0.259,False,12
Bought outright,,701,Brand New,,"Other, please specify",OnePlus,Male,,25 - 34,White,Undergraduate degree,,In full-time education,"Less than £10,000",None,gov,150.0,,0.214,False,10
Bought on contract - fully paid,,614,Brand New,,Samsung (Galaxy),,Male,,18 - 24,White,Undergraduate degree,,In full-time employment,"£20,000 to £29,999",None,cont,50.0,,0.081,False,13
Bought outright,,736,Brand New,,Apple (iPhone),,Female,,18 - 24,BAME,Undergraduate degree,,In part-time employment,"£30,000 to £39,999",2,gov,223.0,,0.303,False,16
Bought outright,,850,Brand New,,Apple (iPhone),,Female,,18 - 24,BAME,Undergraduate degree,,Self employed,"Less than £10,000",None,env,199.0,,0.234,False,9
Bought outright,,602,Brand New,,Apple (iPhone),,Female,,25 - 34,White,Undergraduate degree,,In part-time employment,"£10,000 to £19,999",None,cont,160.0,,0.266,False,10
Bought outright,,800,Brand New,,Apple (iPhone),,Female,,18 - 24,White,Undergraduate degree,,In full-time education,Not sure,None,cont,125.0,,0.156,False,14
Bought outright,,607,Brand New,,Apple (iPhone),,Female,,18 - 24,White,Undergraduate degree,,In full-time employment,"£40,000 to £49,999",None,env,85.0,,0.14,False,12
Bought on contract - fully paid,,837,Brand New,,Samsung (Galaxy),,Male,,18 - 24,White,"Further education (16+, A-Levels, BTEC, etc.)",,In full-time education,Not sure,None,cont,110.0,,0.131,False,10
Bought outright,,506,Brand New,,Apple (iPhone),,Female,,18 - 24,BAME,Master's degree,,In full-time education,Not sure,None,gov,55.0,,0.109,False,15
Bought outright,,300,Brand New,,Google (Pixel),,Male,,18 - 24,BAME,Undergraduate degree,,In full-time employment,"£40,000 to £49,999",None,env,61.0,,0.203,False,9
Bought outright,,999,Brand New,,Samsung (Galaxy),,Female,,25 - 34,BAME,Undergraduate degree,,In full-time education,"£30,000 to £39,999",None,cont,101.0,,0.101,False,10
Bought outright,,802,Brand New,,Apple (iPhone),,Male,,18 - 24,BAME,Master's degree,,Not in employment,"Less than £10,000",1,gov,116.0,,0.145,False,12
Bought outright,,426,Brand New,,Samsung (Galaxy),,Male,,18 - 24,BAME,Undergraduate degree,,In full-time employment,"£40,000 to £49,999",None,gov,100.0,,0.235,False,11
Bought outright,,196,Secondhand - Private Seller (eg. ebay),,Apple (iPhone),,Female,,18 - 24,White,Master's degree,,Not in employment,"Less than £10,000",None,env,403.0,,2.056,False,8
Bought outright,,1100,Brand New,,Apple (iPhone),,Male,,25 - 34,White,Undergraduate degree,,In full-time employment,"£20,000 to £29,999",None,cont,90.0,,0.082,False,15
Bought outright,,352,"Secondhand - Third-party Retailer Refurbished (eg. CEX, BackMarket, GiffGaff)",,Apple (iPhone),,Male,,25 - 34,White,Master's degree,,In full-time education,"£40,000 to £49,999",None,cont,50.0,,0.142,False,11
Bought outright,,399,Brand New,,"Other, please specify",OnePlus,Male,,18 - 24,BAME,Undergraduate degree,,In full-time education,"Less than £10,000",None,env,100.0,,0.251,False,12
Bought outright,,544,"Secondhand - Third-party Retailer Refurbished (eg. CEX, BackMarket, GiffGaff)",,Apple (iPhone),,Male,,18 - 24,BAME,Undergraduate degree,,In full-time employment,"£40,000 to £49,999",None,env,100.0,,0.184,False,12
Bought on contract - fully paid,,1049,Brand New,,Apple (iPhone),,Female,,18 - 24,BAME,Master's degree,,Not in employment,"£10,000 to £19,999",2,cont,51.0,,0.049,False,15
Bought outright,,405,Brand New,,"Other, please specify",Huawei,Female,,18 - 24,BAME,Undergraduate degree,,In full-time education,"Less than £10,000",None,gov,82.0,,0.202,False,7
Bought outright,,597,Brand New,,Apple (iPhone),,Female,,18 - 24,BAME,Master's degree,,In full-time education,"Less than £10,000",None,cont,256.0,,0.429,False,12
Bought outright,,935,Brand New,,Apple (iPhone),,Female,,18 - 24,BAME,Undergraduate degree,,Not in employment,"Less than £10,000",None,gov,98.0,,0.105,False,11
Bought on contract - fully paid,,967,Brand New,,Apple (iPhone),,Female,,18 - 24,BAME,Undergraduate degree,,Not in employment,"Less than £10,000",2,env,198.0,,0.205,False,13
Bought outright,,908,Brand New,,"Other, please specify",Huawei,Female,,18 - 24,BAME,Undergraduate degree,,In full-time education,"Less than £10,000",None,gov,100.0,,0.11,False,13
Bought outright,,573,Brand New,,Apple (iPhone),,Female,,25 - 34,BAME,Undergraduate degree,,In full-time education,Not sure,2,gov,201.0,,0.351,False,13
Bought outright,,710,Brand New,,Apple (iPhone),,Male,,45 - 54,White,Master's degree,,In full-time education,Not sure,None,env,46.0,,0.065,False,9
"Other, please specify",Second hand from parents,109,"Other, please specify",from Family,Apple (iPhone),,Male,,25 - 34,BAME,Undergraduate degree,,In full-time education,"Less than £10,000",None,cont,111.0,,1.018,False,4
Bought outright,,602,Brand New,,Apple (iPhone),,Female,,18 - 24,BAME,Undergraduate degree,,Not in employment,Not sure,4,env,60.0,,0.1,False,10
Bought on contract - fully paid,,808,Brand New,,Apple (iPhone),,Female,,18 - 24,BAME,Undergraduate degree,,In full-time education,"Less than £10,000",2,cont,159.0,,0.197,False,13
Bought outright,,800,Brand New,,Apple (iPhone),,Female,,25 - 34,White,Secondary school (up to 16 years),,In full-time employment,"£40,000 to £49,999",1,env,93.0,,0.116,False,9
Bought outright,,792,Brand New,,Apple (iPhone),,Female,,18 - 24,BAME,Undergraduate degree,,Not in employment,"Less than £10,000",None,cont,100.0,,0.126,False,16
Bought outright,,360,Brand New,,Google (Pixel),,Male,,25 - 34,White,Undergraduate degree,,In full-time education,"£10,000 to £19,999",None,cont,40.0,,0.111,False,5
Bought outright,,901,Brand New,,"Other, please specify",Samsung Note 10+,Male,,18 - 24,BAME,Master's degree,,In full-time education,Not sure,2,gov,130.0,,0.144,False,15
Bought outright,,540,Brand New,,Apple (iPhone),,Female,,18 - 24,BAME,Master's degree,,In full-time education,Not sure,None,env,100.0,,0.185,False,11
Bought outright,,648,Brand New,,Apple (iPhone),,Male,,18 - 24,BAME,"Further education (16+, A-Levels, BTEC, etc.)",,Not in employment,"£10,000 to £19,999",None,env,101.0,,0.156,False,9
Bought outright,,501,Brand New,,Apple (iPhone),,Male,,18 - 24,White,Secondary school (up to 16 years),,In full-time education,Not sure,None,gov,176.0,,0.351,False,11
Bought outright,,669,Secondhand - Manufacturer Refurbished (eg. Apple),,Apple (iPhone),,Female,,45 - 54,BAME,Master's degree,,In full-time employment,"£30,000 to £39,999",2,cont,100.0,,0.149,False,10
"Other, please specify",Gifted from family member,300,"Other, please specify","Second hand, gifted from family",Apple (iPhone),,Female,,25 - 34,White,Master's degree,,In full-time education,"£20,000 to £29,999",None,gov,50.0,,0.167,False,9
Bought outright,,300,Brand New,,Samsung (Galaxy),,Male,,25 - 34,BAME,Doctoral degree,,Not in employment,"Less than £10,000",None,gov,51.0,,0.17,False,7
Bought outright,,142,Brand New,,Samsung (Galaxy),,Male,,25 - 34,White,Master's degree,,In full-time employment,"£10,000 to £19,999",1,cont,64.0,,0.451,False,6
Bought outright,,350,Brand New,,Apple (iPhone),,Male,,25 - 34,White,Undergraduate degree,,In full-time education,Not sure,None,cont,65.0,,0.186,False,12
"Other, please specify",Bought on Contract -My Employer pays monthly ,489,Brand New,,Apple (iPhone),,Male,,18 - 24,White,Undergraduate degree,,In full-time employment,"£20,000 to £29,999",None,env,21.0,,0.043,False,11
Bought outright,,710,Brand New,,Apple (iPhone),,Female,,25 - 34,BAME,Undergraduate degree,,In full-time employment,"£30,000 to £39,999",None,env,45.0,,0.063,False,16
Bought on contract - fully paid,,600,Brand New,,Apple (iPhone),,Female,,18 - 24,BAME,Master's degree,,Not in employment,"Less than £10,000",None,gov,204.0,,0.34,False,15
Bought on contract - fully paid,,998,Brand New,,Apple (iPhone),,Male,,18 - 24,BAME,Master's degree,,Not in employment,Prefer not to say,3,cont,0.0,Repairability is not a priority for me,0.0,False,13
Bought outright,,746,Brand New,,Samsung (Galaxy),,Male,,25 - 34,BAME,Doctoral degree,,In full-time employment,"£10,000 to £19,999",None,gov,121.0,,0.162,False,11
Bought outright,,251,Brand New,,Apple (iPhone),,Female,,18 - 24,White,Master's degree,,In full-time education,"Less than £10,000",1,env,50.0,,0.199,False,6
Bought outright,,703,"Secondhand - Third-party Retailer Refurbished (eg. CEX, BackMarket, GiffGaff)",,Apple (iPhone),,Female,,25 - 34,White,Master's degree,,In full-time employment,"£40,000 to £49,999",None,gov,95.0,,0.135,False,11
Bought outright,,99,Brand New,,"Other, please specify",Motorola,Male,,55 - 64,White,Doctoral degree,,In part-time employment,"£30,000 to £39,999",None,cont,10.0,,0.101,False,2
Bought outright,,401,Brand New,,Samsung (Galaxy),,Female,,55 - 64,White,Doctoral degree,,In full-time employment,"£50,000 to £59,999",None,env,50.0,,0.125,False,8
Bought outright,,725,Brand New,,Apple (iPhone),,Prefer not to say,,18 - 24,BAME,Undergraduate degree,,In full-time education,Not sure,None,cont,100.0,,0.138,False,12
Bought on contract - fully paid,,300,Brand New,,Apple (iPhone),,Female,,18 - 24,White,Undergraduate degree,,In full-time education,Prefer not to say,None,env,55.0,,0.183,False,8
Bought on contract - fully paid,,500,Brand New,,Apple (iPhone),,Male,,18 - 24,BAME,Undergraduate degree,,In full-time education,"£10,000 to £19,999",None,cont,80.0,,0.16,False,10
Bought outright,,382,Brand New,,"Other, please specify","Crosscall (French Brand, Android)",Male,,18 - 24,White,Master's degree,,In full-time education,"£10,000 to £19,999",None,gov,100.0,,0.262,False,9
Bought outright,,716,Brand New,,Apple (iPhone),,Female,,55 - 64,BAME,Master's degree,,In full-time employment,"£50,000 to £59,999",2,env,99.0,,0.138,False,13
Bought outright,,1024,Brand New,,Apple (iPhone),,Female,,25 - 34,BAME,Master's degree,,In full-time education,"Less than £10,000",None,gov,251.0,,0.245,False,16
Bought outright,,584,Brand New,,Apple (iPhone),,Female,,25 - 34,White,Doctoral degree,,In full-time employment,"£40,000 to £49,999",None,cont,100.0,,0.171,False,10
Bought outright,,196,Secondhand - Private Seller (eg. ebay),,Apple (iPhone),,Female,,18 - 24,White,"Further education (16+, A-Levels, BTEC, etc.)",,In full-time education,"Less than £10,000",None,gov,100.0,,0.51,False,9
Bought outright,,280,Brand New,,"Other, please specify",Xiaomi,Male,,25 - 34,White,Undergraduate degree,,In full-time employment,"£60,000 to £69,999",1,env,140.0,,0.5,False,11
