,coef,std err,t,P>|t|,[0.025,0.975]
treatment_env,    9.7773,   10.818,    0.904, 0.367,  -11.516,   31.071
treatment_gov,   20.4317,   10.644,    1.920, 0.056,   -0.518,   41.381
emotional_attachment_2,   -3.6693,   52.946,   -0.069, 0.945, -107.882,  100.543
emotional_attachment_3,   34.3150,   52.830,    0.650, 0.517,  -69.669,  138.299
emotional_attachment_4,   45.7229,   33.976,    1.346, 0.179,  -21.152,  112.597
emotional_attachment_5,   36.5539,   26.176,    1.396, 0.164,  -14.967,   88.075
emotional_attachment_6,   61.5337,   19.497,    3.156, 0.002,   23.159,   99.908
emotional_attachment_7,   66.3714,   20.529,    3.233, 0.001,   25.965,  106.777
emotional_attachment_8,   54.9480,   17.851,    3.078, 0.002,   19.813,   90.083
emotional_attachment_9,   66.5220,   16.067,    4.140, 0.000,   34.898,   98.146
emotional_attachment_10,   52.3437,   14.986,    3.493, 0.001,   22.848,   81.840
emotional_attachment_11,   56.9998,   17.669,    3.226, 0.001,   22.222,   91.777
emotional_attachment_12,   59.1672,   17.354,    3.409, 0.001,   25.011,   93.324
emotional_attachment_13,   46.1954,   17.598,    2.625, 0.009,   11.557,   80.834
emotional_attachment_14,   50.2075,   18.473,    2.718, 0.007,   13.848,   86.567
emotional_attachment_15,   40.7124,   20.958,    1.943, 0.053,   -0.539,   81.964
emotional_attachment_16,  128.7961,   21.129,    6.096, 0.000,   87.210,  170.383
phone_cost,    0.0710,    0.016,    4.508, 0.000,    0.040,    0.102
,coef,std err,t,P>|t|,[0.025,0.975]
treatment_env,    9.7773,   10.818,    0.904, 0.367,  -11.516,   31.071
treatment_gov,   20.4317,   10.644,    1.920, 0.056,   -0.518,   41.381
emotional_attachment_2,   -3.6693,   52.946,   -0.069, 0.945, -107.882,  100.543
emotional_attachment_3,   34.3150,   52.830,    0.650, 0.517,  -69.669,  138.299
emotional_attachment_4,   45.7229,   33.976,    1.346, 0.179,  -21.152,  112.597
emotional_attachment_5,   36.5539,   26.176,    1.396, 0.164,  -14.967,   88.075
emotional_attachment_6,   61.5337,   19.497,    3.156, 0.002,   23.159,   99.908
emotional_attachment_7,   66.3714,   20.529,    3.233, 0.001,   25.965,  106.777
emotional_attachment_8,   54.9480,   17.851,    3.078, 0.002,   19.813,   90.083
emotional_attachment_9,   66.5220,   16.067,    4.140, 0.000,   34.898,   98.146
emotional_attachment_10,   52.3437,   14.986,    3.493, 0.001,   22.848,   81.840
emotional_attachment_11,   56.9998,   17.669,    3.226, 0.001,   22.222,   91.777
emotional_attachment_12,   59.1672,   17.354,    3.409, 0.001,   25.011,   93.324
emotional_attachment_13,   46.1954,   17.598,    2.625, 0.009,   11.557,   80.834
emotional_attachment_14,   50.2075,   18.473,    2.718, 0.007,   13.848,   86.567
emotional_attachment_15,   40.7124,   20.958,    1.943, 0.053,   -0.539,   81.964
emotional_attachment_16,  128.7961,   21.129,    6.096, 0.000,   87.210,  170.383
phone_cost,    0.0710,    0.016,    4.508, 0.000,    0.040,    0.102
,coef,std err,t,P>|t|,[0.025,0.975]
treatment_env,    9.7773,   10.818,    0.904, 0.367,  -11.516,   31.071
treatment_gov,   20.4317,   10.644,    1.920, 0.056,   -0.518,   41.381
emotional_attachment_2,   -3.6693,   52.946,   -0.069, 0.945, -107.882,  100.543
emotional_attachment_3,   34.3150,   52.830,    0.650, 0.517,  -69.669,  138.299
emotional_attachment_4,   45.7229,   33.976,    1.346, 0.179,  -21.152,  112.597
emotional_attachment_5,   36.5539,   26.176,    1.396, 0.164,  -14.967,   88.075
emotional_attachment_6,   61.5337,   19.497,    3.156, 0.002,   23.159,   99.908
emotional_attachment_7,   66.3714,   20.529,    3.233, 0.001,   25.965,  106.777
emotional_attachment_8,   54.9480,   17.851,    3.078, 0.002,   19.813,   90.083
emotional_attachment_9,   66.5220,   16.067,    4.140, 0.000,   34.898,   98.146
emotional_attachment_10,   52.3437,   14.986,    3.493, 0.001,   22.848,   81.840
emotional_attachment_11,   56.9998,   17.669,    3.226, 0.001,   22.222,   91.777
emotional_attachment_12,   59.1672,   17.354,    3.409, 0.001,   25.011,   93.324
emotional_attachment_13,   46.1954,   17.598,    2.625, 0.009,   11.557,   80.834
emotional_attachment_14,   50.2075,   18.473,    2.718, 0.007,   13.848,   86.567
emotional_attachment_15,   40.7124,   20.958,    1.943, 0.053,   -0.539,   81.964
emotional_attachment_16,  128.7961,   21.129,    6.096, 0.000,   87.210,  170.383
phone_cost,    0.0710,    0.016,    4.508, 0.000,    0.040,    0.102
