StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Phone ownership,Phone ownership_4_TEXT,phone cost_1,State of phone,State of phone_5_TEXT,Brand of phone,Brand of phone_4_TEXT,Attachments_1,Attachments_2,Attachments_3,Attachments_4,control - q_1,control - why,control - why_4_TEXT,env - q_1,env - why?,env - why?_4_TEXT,gov - q_1,gov - why,gov - why_4_TEXT,Gender,Gender_4_TEXT,Age,Ethnicity,Education,Education_8_TEXT,Employment status,Income,Family size
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Do you consent to have your responses processed as described above? You must click ""Yes"" in order to take the survey.",Do you own your phone? - Selected Choice,"Do you own your phone? - Other, please specify - Text",How much did your current phone cost? Estimate if you don't fully remember or don't fully know. - Phone Price (£),What was the state of your phone when the purchase was made? - Selected Choice,"What was the state of your phone when the purchase was made? - Other, please specify - Text",What phone do you have? - Selected Choice,"What phone do you have? - Other, please specify - Text","To what extent do you agree with these statements - I care about the unique attributes of my specific device as compared to similar phones on the market (e.g., buttons, materials).",To what extent do you agree with these statements - I associated my phone with meaningful and fond memories (sentimental value).,"To what extent do you agree with these statements - I find my phone aesthetically pleasing (e.g., style, colour, simplicity).",To what extent do you agree with these statements - I enjoy using my phone due to its physical attributes.,"You have the option to buy two different types of phones: a standard phone or a phone with increased repairability (e.g., battery, display and back cover are all easily removable and replaceable with common tools).
Considering the amount you paid for your current phone and keeping in mind your expenditure for similar goods and services, what is the maximum extra amount you would be willing to pay for the exact same phone with increased repairability? - Amount extra for repairability (£)",Why? - Selected Choice,"Why? - Other, please specify - Text","In 2019, 83% of the UK's population used a smartphone. Around 80% of each device’s carbon footprint is generated at the manufacturing stage. The average lifespan of a smartphone is 2.5 years. Current estimates place smartphone recycling rates below 15% in developed countries. Research has suggested that if a phone’s lifetime is extended to an average of 4.5 years by screen and battery repairment, it could reduce carbon emissions by up to 46%.
Considering the amount you paid for your current phone and keeping in mind your expenditure for similar goods and services, what is the maximum extra amount you would be willing to pay for the exact same phone with increased repairability? - Amount extra for repairability (£)",Why? - Selected Choice,"Why? - Other, please specify - Text","The UK Government wants to move towards a more resource-efficient economy. This means keeping products and materials in use for longer, including through repair and reuse. The UK government is aiming to reduce smartphone waste by 30% by 2030 through a right to repair policy, meaning manufactures have to provide consumers with access to spare parts and easy to follow information on how to repair their phone.
Considering the amount you paid for your current phone and keeping in mind your expenditure for similar goods and services, what is the maximum extra amount you would be willing to pay for the exact same phone with increased repairability? - Amount extra for repairability (£)",Why? - Selected Choice,"Why? - Other, please specify - Text",How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,How old are you?,What is your ethnicity?,What is the highest level of education that you have completed? - Selected Choice,"What is the highest level of education that you have completed? - Other, please specify - Text",What is your employment status?,What is your annual income before taxes? Please estimate if you don't fully know.,How many dependants do you have that live at home with you or whom you have regular responsibility for?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_4_TEXT""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_5_TEXT""}","{""ImportId"":""QID34""}","{""ImportId"":""QID34_4_TEXT""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID35""}","{""ImportId"":""QID35_4_TEXT""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID38""}","{""ImportId"":""QID38_4_TEXT""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID44""}","{""ImportId"":""QID44_4_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID16_4_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID21""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_8_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID23""}","{""ImportId"":""QID25""}"
2022-02-18 05:55:17,2022-02-18 05:58:11,IP Address,31.205.213.170,100,174,True,2022-02-18 05:58:12,R_2VvH9MKnmpVnlLI,,,,,51.4889984130859375,-0.214996337890625,anonymous,EN,Yes,Bought on contract - fully paid,,903,Secondhand - Manufacturer Refurbished (eg. Apple),,Apple (iPhone),,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,,,,142,,,,,,Female,,18 - 24,Asian / Asian British: Chinese,Master's degree,,In full-time education,"Less than £10,000",None
2022-02-18 05:55:40,2022-02-18 05:59:04,IP Address,85.255.235.116,100,203,True,2022-02-18 05:59:04,R_0xD0ubOO2yZq3FT,,,,,51.49639892578125,-0.122406005859375,anonymous,EN,Yes,Bought outright,,777,Brand New,,Apple (iPhone),,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,,,,201,,,,,,Female,,25 - 34,Any other ethnic group,Undergraduate degree,,In full-time education,"Less than £10,000",2
2022-02-18 05:55:28,2022-02-18 05:59:22,IP Address,81.146.58.21,100,234,True,2022-02-18 05:59:23,R_1oHe44QZcciXdOr,,,,,51.417999267578125,-0.175201416015625,anonymous,EN,Yes,Bought outright,,701,Brand New,,"Other, please specify",OnePlus,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,,,,,,,150,,,Male,,25 - 34,White: British / English / Northern Irish / Scottish / Welsh,Undergraduate degree,,In full-time education,"Less than £10,000",None
2022-02-18 05:57:44,2022-02-18 06:00:01,IP Address,5.81.197.187,100,136,True,2022-02-18 06:00:02,R_1ieqlU1kC2AwzVH,,,,,51.762603759765625,0.4709930419921875,anonymous,EN,Yes,Bought on contract - fully paid,,614,Brand New,,Samsung (Galaxy),,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,50,,,,,,,,,Male,,18 - 24,White: British / English / Northern Irish / Scottish / Welsh,Undergraduate degree,,In full-time employment,"£20,000 to £29,999",None
2022-02-18 05:59:11,2022-02-18 06:00:53,IP Address,31.121.192.26,100,102,True,2022-02-18 06:00:53,R_3HOHPl1BGOBQotL,,,,,51.482696533203125,-0.1614990234375,anonymous,EN,Yes,Bought outright,,736,Brand New,,Apple (iPhone),,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,223,,,Female,,18 - 24,Mixed / Multiple ethnic groups: Black Caribbean and White,Undergraduate degree,,In part-time employment,"£30,000 to £39,999",2
2022-02-18 05:58:26,2022-02-18 06:01:46,IP Address,92.0.165.169,100,200,True,2022-02-18 06:01:46,R_eFDUIDiKoqmRAPf,,,,,51.532196044921875,-0.097900390625,anonymous,EN,Yes,Bought outright,,850,Brand New,,Apple (iPhone),,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,,,,199,,,,,,Female,,18 - 24,Asian / Asian British: Indian,Undergraduate degree,,Self employed,"Less than £10,000",None
2022-02-18 05:59:26,2022-02-18 06:03:32,IP Address,88.97.107.123,100,245,True,2022-02-18 06:03:32,R_2XpsQJCUfUKvYdu,,,,,51.577606201171875,-0.1947021484375,anonymous,EN,Yes,Bought outright,,602,Brand New,,Apple (iPhone),,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,160,,,,,,,,,Female,,25 - 34,White: Any other White background,Undergraduate degree,,In part-time employment,"£10,000 to £19,999",None
2022-02-18 05:59:07,2022-02-18 06:04:46,IP Address,86.11.207.86,100,338,True,2022-02-18 06:04:47,R_2CjsVrOEFvZ2TXX,,,,,51.5041961669921875,-0.2198944091796875,anonymous,EN,Yes,Bought outright,,800,Brand New,,Apple (iPhone),,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,125,,,,,,,,,Female,,18 - 24,White: British / English / Northern Irish / Scottish / Welsh,Undergraduate degree,,In full-time education,Not sure,None
